Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Vijayanagar,54745.0,54304.0,37527.0,30855.0,30132.0,20474.0,0.992,0.691,0.8220000000000001,0.977,9645.0,0.32,0.374,2256693.0,5.67,102.67,126023.0
Prakash Nagar,50760.0,50320.0,34779.0,29499.0,28934.0,19727.0,0.991,0.691,0.848,0.981,9197.0,0.318,0.389,2317255.0,6.67,117.97,131028.0
Shakthi Ganapathi Nagar,45353.0,44976.0,30181.0,27389.0,26831.0,19527.0,0.992,0.6709999999999999,0.9079999999999999,0.98,7288.0,0.272,0.431,2448766.0,6.77,119.28,142028.0
Chandra Layout,50247.0,49912.0,34372.0,28748.0,28165.0,19187.0,0.993,0.6890000000000001,0.836,0.98,8972.0,0.319,0.382,2456871.0,7.12,124.05,141833.0
Herohalli,47952.0,47600.0,29755.0,26798.0,26192.0,18276.0,0.993,0.625,0.9009999999999999,0.977,7916.0,0.302,0.381,2724334.0,9.7,162.35,162105.0
Agrahara Dasarahalli,43027.0,42536.0,27331.0,25002.0,24554.0,18053.0,0.9890000000000001,0.643,0.915,0.982,6496.0,0.265,0.42,2401294.0,7.51,127.94,139769.0
Puneet Rajkumar,45863.0,45416.0,30747.0,26816.0,26265.0,18033.0,0.99,0.677,0.872,0.9790000000000001,8224.0,0.313,0.39299999999999996,2148483.0,6.3,112.2,123322.0
Nandini Layout,44061.0,43724.0,30100.0,26165.0,25692.0,17747.0,0.992,0.688,0.8690000000000001,0.982,7935.0,0.309,0.40299999999999997,2203322.0,7.98,136.49,127506.0
Binnipete,59606.0,59100.0,43772.0,30868.0,30446.0,17157.0,0.992,0.741,0.705,0.986,13280.0,0.436,0.28800000000000003,2173390.0,6.03,109.08,124006.0
Nagavara,68797.0,68313.0,48922.0,29950.0,29541.0,17006.0,0.993,0.716,0.612,0.986,12528.0,0.424,0.247,2128376.0,6.27,115.24,118358.0
